symbol,mode,n_signals,n_B,n_S,skill6,skill12,skill24
000425.SZ,strict,821,481,340,-0.0384,-0.0338,0.0021
000425.SZ,floor,911,506,405,-0.0332,-0.0298,0.0003
000425.SZ,resonance,1058,673,385,-0.0156,-0.0203,0.0083
000426.SZ,strict,1102,592,510,-0.0112,-0.0256,-0.0035
000426.SZ,floor,1333,641,692,0.0079,-0.0057,-0.0178
000426.SZ,resonance,1229,697,532,0.0054,-0.0095,0.0003
000428.SZ,strict,514,295,219,-0.0267,-0.0358,-0.0111
000428.SZ,floor,593,310,283,0.0013,0.013,0.0196
000428.SZ,resonance,734,493,241,0.0416,0.0513,0.0573
000488.SZ,strict,382,201,181,0.0372,0.057,0.092
000488.SZ,floor,436,209,227,0.0252,0.0408,0.0668
000488.SZ,resonance,529,349,180,0.065,0.0646,0.0761
000498.SZ,strict,69,34,35,-0.0414,-0.0782,-0.0864
000498.SZ,floor,71,34,37,-0.0256,-0.0673,-0.0782
000498.SZ,resonance,104,60,44,-0.0259,-0.0069,-0.0104
000501.SZ,strict,635,362,273,-0.0149,-0.0116,-0.012
000501.SZ,floor,683,368,315,-0.0189,-0.0248,-0.0339
000501.SZ,resonance,933,627,306,-0.0028,0.0034,-0.0187
000503.SZ,strict,638,368,270,-0.0519,-0.0429,-0.0503
000503.SZ,floor,708,394,314,-0.039,-0.0248,-0.0535
000503.SZ,resonance,951,647,304,-0.0147,-0.0148,-0.0282
000504.SZ,strict,93,55,38,-0.0839,-0.1866,-0.0136
000504.SZ,floor,119,60,59,-0.0781,-0.1312,-0.0078
000504.SZ,resonance,132,85,47,-0.0555,-0.1394,0.0252
000505.SZ,strict,589,349,240,-0.0337,-0.0433,-0.0876
000505.SZ,floor,665,364,301,-0.0234,-0.0118,-0.0532
000505.SZ,resonance,845,566,279,-0.0073,-0.0242,-0.0616
000506.SZ,strict,854,505,349,-0.0381,-0.024,-0.0543
000506.SZ,floor,1041,549,492,-0.0472,-0.0462,-0.057
000506.SZ,resonance,1041,651,390,-0.0486,-0.0464,-0.0408
000507.SZ,strict,506,280,226,0.0047,0.0103,0.0053
000507.SZ,floor,543,286,257,0.023,0.0343,0.0373
000507.SZ,resonance,704,454,250,0.0189,0.0238,0.0251
000509.SZ,strict,531,340,191,0.0132,0.0026,-0.0675
000509.SZ,floor,630,363,267,-0.0042,-0.0205,-0.0693
000509.SZ,resonance,740,523,217,0.0328,0.0262,-0.0479
000510.SZ,strict,935,564,371,-0.027,-0.0428,-0.0069
000510.SZ,floor,1252,652,600,-0.0061,-0.0048,0.0132
000510.SZ,resonance,1112,700,412,-0.0321,-0.0754,-0.0799
000513.SZ,strict,867,484,383,-0.0189,-0.016,-0.0232
000513.SZ,floor,892,484,408,-0.0163,-0.016,-0.0211
000513.SZ,resonance,1116,705,411,-0.011,-0.0152,-0.0268
000514.SZ,strict,540,313,227,-0.0605,-0.0359,-0.0963
000514.SZ,floor,582,319,263,-0.044,-0.0202,-0.0752
000514.SZ,resonance,791,536,255,-0.0149,0.0082,-0.0374
000516.SZ,strict,444,262,182,0.0494,0.0498,0.0505
000516.SZ,floor,497,270,227,0.0392,0.0429,0.0404
000516.SZ,resonance,657,459,198,0.0456,0.0429,0.0218
000517.SZ,strict,408,223,185,-0.0027,0.0163,0.0112
000517.SZ,floor,483,238,245,0.0372,0.0455,0.0499
000517.SZ,resonance,589,400,189,0.086,0.0906,0.0815
000518.SZ,strict,450,224,226,0.0328,0.0314,0.0093
000518.SZ,floor,535,238,297,0.0156,0.0231,0.0357
000518.SZ,resonance,642,406,236,0.0778,0.0937,0.1219
000520.SZ,strict,518,325,193,-0.0036,-0.005,-0.0965
000520.SZ,floor,591,336,255,0.0101,-0.0007,-0.0641
000520.SZ,resonance,763,534,229,0.033,0.028,-0.0165
000521.SZ,strict,460,245,215,-0.0168,0.0234,0.0141
000521.SZ,floor,496,249,247,-0.0255,0.0226,0.0205
000521.SZ,resonance,676,441,235,-0.0091,0.0079,-0.022
000523.SZ,strict,466,278,188,-0.0043,-0.0089,-0.0188
000523.SZ,floor,518,286,232,0.0039,-0.0059,-0.0211
000523.SZ,resonance,707,497,210,0.0386,0.0397,0.0212
000528.SZ,strict,677,392,285,-0.0246,-0.0441,-0.0392
000528.SZ,floor,724,403,321,-0.0239,-0.0321,-0.0379
000528.SZ,resonance,961,645,316,0.0049,-0.0236,-0.028
000530.SZ,strict,587,349,238,-0.0316,-0.0414,-0.0732
000530.SZ,floor,670,360,310,-0.0104,-0.0159,-0.0148
000530.SZ,resonance,861,572,289,0.0022,-0.0013,-0.0196
000531.SZ,strict,78,46,32,0.0725,0.0852,0.0188
000531.SZ,floor,87,46,41,0.0596,0.0543,-0.0202
000531.SZ,resonance,137,99,38,0.0375,0.0237,0.0308
000532.SZ,strict,757,474,283,-0.018,-0.0082,-0.0426
000532.SZ,floor,827,494,333,-0.0066,0.0066,-0.023
000532.SZ,resonance,1072,735,337,0.0003,0.006,-0.0269
000533.SZ,strict,729,439,290,0.0324,0.037,-0.0221
000533.SZ,floor,897,482,415,0.0356,0.0352,-0.0096
000533.SZ,resonance,945,617,328,0.0491,0.0843,0.0324
000534.SZ,strict,617,387,230,-0.0522,-0.0712,-0.1362
000534.SZ,floor,744,425,319,-0.0404,-0.0529,-0.1331
000534.SZ,resonance,692,461,231,-0.038,-0.0596,-0.1048
000536.SZ,strict,436,259,177,-0.0765,-0.22,-0.2678
000536.SZ,floor,510,271,239,-0.0359,-0.1393,-0.1953
000536.SZ,resonance,682,490,192,-0.0341,-0.1298,-0.1566
000538.SZ,strict,946,515,431,-0.0041,-0.0081,-0.0111
000538.SZ,floor,956,515,441,-0.004,-0.0078,-0.0101
000538.SZ,resonance,1132,676,456,-0.0085,-0.0197,-0.0195
000543.SZ,strict,645,360,285,0.0209,0.0388,0.0008
000543.SZ,floor,705,363,342,0.0299,0.0563,0.0295
000543.SZ,resonance,884,541,343,0.0265,0.0328,0.0007
000544.SZ,strict,601,325,276,-0.0164,-0.0442,-0.0458
000544.SZ,floor,608,326,282,-0.0184,-0.0433,-0.0458
000544.SZ,resonance,884,552,332,0.0161,-0.0007,-0.0034
000545.SZ,strict,77,43,34,0.2135,0.1263,0.2059
000545.SZ,floor,101,44,57,0.2119,0.2118,0.3213
000545.SZ,resonance,92,58,34,0.1423,0.0836,0.1243
000546.SZ,strict,607,352,255,0.0304,0.0568,0.0435
000546.SZ,floor,772,389,383,0.0417,0.0523,0.0254
000546.SZ,resonance,871,580,291,0.0335,0.0444,0.0265
000547.SZ,strict,234,151,83,-0.0491,-0.1469,-0.0519
000547.SZ,floor,287,164,123,-0.0332,-0.1338,-0.0391
000547.SZ,resonance,309,215,94,-0.0462,-0.1047,-0.1193
000548.SZ,strict,601,359,242,-0.0241,-0.0365,-0.0655
000548.SZ,floor,636,368,268,-0.0196,-0.0282,-0.0521
000548.SZ,resonance,854,578,276,0.0056,0.0038,-0.0236
000552.SZ,strict,394,223,171,0.0492,0.0274,0.003
000552.SZ,floor,462,232,230,0.0683,0.0332,0.0145
000552.SZ,resonance,557,377,180,0.0968,0.0728,0.0787
000554.SZ,strict,96,62,34,-0.0019,-0.0139,-0.0678
000554.SZ,floor,111,65,46,0.0384,-0.0108,-0.0587
000554.SZ,resonance,124,80,44,0.0389,0.0476,0.0859
000555.SZ,strict,839,510,329,-0.0552,-0.0696,-0.0737
000555.SZ,floor,942,528,414,-0.0406,-0.0585,-0.063
000555.SZ,resonance,1064,697,367,-0.0331,-0.0417,-0.0541
000557.SZ,strict,449,242,207,0.0121,0.0101,-0.0254
000557.SZ,floor,468,242,226,0.0298,0.0316,-0.0011
000557.SZ,resonance,674,442,232,0.0543,0.0469,0.0115
000559.SZ,strict,805,479,326,-0.0151,-0.006,0.0555
000559.SZ,floor,933,496,437,-0.0229,-0.0173,0.0467
