sym,n_bars,split,n_train,skill24_train,n_test,skill24_test
002167.SZ,34994,23096,440,0.0095,203,-0.1888
002177.SZ,34994,23096,604,0.1023,298,-0.0265
002190.SZ,24996,16497,250,0.0038,116,0.1112
002203.SZ,34994,23096,397,-0.0338,154,-0.0805
002213.SZ,34994,23096,314,-0.1143,123,-0.0513
002227.SZ,34994,23096,523,0.0513,211,0.0997
002242.SZ,34994,23096,549,0.0338,267,0.0448
002259.SZ,34994,23096,655,0.0241,312,-0.0636
002278.SZ,34994,23096,523,0.0097,277,-0.0568
002292.SZ,34994,23096,648,-0.006,304,0.0269
002305.SZ,19997,13198,581,0.1131,277,0.1603
002317.SZ,34994,23096,405,-0.046,153,0.057
002331.SZ,34994,23096,542,0.0286,199,-0.0216
002348.SZ,14998,9898,171,0.152,70,-0.2523
002364.SZ,34994,23096,318,-0.0636,149,-0.2417
002376.SZ,34994,23096,711,0.0525,332,0.0265
002389.SZ,34994,23096,379,-0.019,191,0.0203
002400.SZ,34994,23096,556,-0.0339,285,-0.0897
002413.SZ,34994,23096,409,-0.1363,240,-0.0685
002429.SZ,5000,3300,56,0.5077,18,-0.1206
002442.SZ,34994,23096,661,0.0595,356,-0.0563
002459.SZ,34994,23096,471,0.0025,223,-0.0339
002471.SZ,34994,23096,521,0.051,345,0.045
002485.SZ,34994,23096,604,-0.0076,251,0.0176
002501.SZ,34994,23096,1001,0.1183,525,0.2251
002517.SZ,34994,23096,324,0.121,177,0.1785
002529.SZ,34994,23096,554,-0.0461,218,-0.0365
002543.SZ,34994,23096,651,0.0498,325,0.0532
002558.SZ,34994,23096,255,-0.0728,143,-0.0594
002570.SZ,34994,23096,1001,0.0573,401,0.1339
002583.SZ,34994,23096,641,-0.0193,323,0.023
002597.SZ,9999,6599,96,-0.0069,46,-0.1052
002614.SZ,34994,23096,690,0.0333,359,0.0525
002630.SZ,34994,23096,996,0.127,481,0.1328
002649.SZ,34994,23096,495,0.0075,260,0.0112
002659.SZ,34994,23096,695,0.0668,332,0.091
002670.SZ,34994,23096,527,0.0023,233,-0.0198
002686.SZ,34994,23096,660,0.0227,260,0.1132
