sym,date,net_pct,cum_net_pct
600675.SH,2025-12-10,-0.04,146.5768
000572.SZ,2025-12-10,1.1441,147.7209
600689.SH,2025-12-10,0.4395,148.1604
688578.SH,2025-12-10,0.6886,148.849
300142.SZ,2025-12-10,0.6618,149.5108
300003.SZ,2025-12-10,0.1521,149.6629
920489.BJ,2025-12-10,0.1234,149.7863
300518.SZ,2025-12-10,0.5528,150.3391
300146.SZ,2025-12-10,0.3881,150.7272
920541.BJ,2025-12-10,0.5651,151.2923
601128.SH,2025-12-10,0.2401,151.5324
603337.SH,2025-12-10,0.5613,152.0937
600528.SH,2025-12-10,0.3397,152.4334
920374.BJ,2025-12-10,1.2587,153.6921
301369.SZ,2025-12-10,0.9211,154.6132
301137.SZ,2025-12-10,0.496,155.1092
002791.SZ,2025-12-10,0.0523,155.1615
300197.SZ,2025-12-10,0.4919,155.6534
601916.SH,2025-12-10,0.2847,155.9381
300264.SZ,2025-12-10,0.2603,156.1984
603330.SH,2025-12-10,0.09,156.2884
603113.SH,2025-12-10,0.4173,156.7057
688038.SH,2025-12-10,1.2228,157.9285
603175.SH,2025-12-10,0.8719,158.8004
600479.SH,2025-12-10,0.1516,158.952
688244.SH,2025-12-10,1.0561,160.0081
300480.SZ,2025-12-10,0.6479,160.656
300441.SZ,2025-12-10,0.4829,161.1389
301203.SZ,2025-12-10,1.0087,162.1476
001202.SZ,2025-12-10,0.5395,162.6871
002239.SZ,2025-12-10,0.6289,163.316
301303.SZ,2025-12-10,1.014,164.33
600845.SH,2025-12-10,0.3491,164.6791
300557.SZ,2025-12-10,0.5051,165.1842
688616.SH,2025-12-10,0.7783,165.9625
603282.SH,2025-12-10,0.7253,166.6878
300691.SZ,2025-12-10,0.6569,167.3447
688619.SH,2025-12-10,1.1188,168.4635
600868.SH,2025-12-10,1.7925,170.256
002745.SZ,2025-12-10,0.2815,170.5375
002603.SZ,2025-12-10,0.4216,170.9591
002324.SZ,2025-12-10,0.2808,171.2399
603917.SH,2025-12-10,0.3072,171.5471
300664.SZ,2025-12-10,0.3184,171.8655
300184.SZ,2025-12-10,0.1582,172.0237
603950.SH,2025-12-10,0.8094,172.8331
601366.SH,2025-12-10,1.033,173.8661
001317.SZ,2025-12-10,0.2999,174.166
688252.SH,2025-12-10,0.1438,174.3098
300395.SZ,2025-12-10,1.7517,176.0615
000037.SZ,2025-12-10,0.5354,176.5969
000507.SZ,2025-12-10,0.5218,177.1187
920826.BJ,2025-12-10,1.4525,178.5712
600675.SH,2025-12-10,0.3223,178.8935
301137.SZ,2025-12-10,1.7377,180.6312
002443.SZ,2025-12-10,0.2154,180.8466
300568.SZ,2025-12-10,0.658,181.5046
300264.SZ,2025-12-10,0.8515,182.3561
601088.SH,2025-12-10,0.4823,182.8384
